Flight Point ID,Easting,Northing
1,709551.11,4904844.84
2,709551.11,4905263.16
3,709602.95,4905263.16
4,709602.95,4904844.84
5,709654.79,4904844.84
6,709654.79,4905263.16
7,709706.63,4905263.16
8,709706.63,4904844.84
9,709758.47,4904844.84
10,709758.47,4905263.16
